block_batch_size,batch_concurrency,time
40,1,324.775
39,2,296.025
38,2,322.5
37,2,340.425
36,2,312
35,2,287.075
34,2,314.4
33,2,308.275
32,2,318.25
31,2,307.45
30,2,322.225
29,2,316.75
28,2,314.35
27,2,322.1
26,2,321.325
25,2,310
24,2,302.125
23,2,308.875
22,2,296.475
21,2,289.05
20,2,296.85
19,3,337.25
18,3,343.975
17,3,349.125
16,3,336.125
15,3,353.175
14,3,343.325
13,4,377.5
12,4,376
11,4,347.575
10,4,360.375
9,5,426.7
8,5,358.5
7,6,349.55
6,7,378.625
5,8,341.1
4,10,374.975
3,14,413.975
2,20,483.3
1,40,566.875
1,40,566.875
35,2,287.075
