block_batch_size,batch_concurrency,time
40,1,332
39,2,343.525
38,2,359.025
37,2,318.425
36,2,361.65
35,2,319.6
34,2,346.125
33,2,317.5
32,2,318.85
31,2,321.725
30,2,321.15
29,2,333.825
28,2,320.675
27,2,318.725
26,2,319.025
25,2,321.65
24,2,320.425
23,2,322.05
22,2,339.925
21,2,321.075
20,2,319.95
19,3,343.225
18,3,311.075
17,3,325.325
16,3,303
15,3,320.95
14,3,302.4
13,4,314.975
12,4,313.5
11,4,301
10,4,302.775
9,5,302.675
8,5,301.45
7,6,314.45
6,7,301.175
5,8,343.2
4,10,357.125
3,14,322.1
2,20,350.625
1,40,367.875
1,40,367.875
11,4,301
