block_batch_size,batch_concurrency,time
40,1,258.4
39,2,197.725
38,2,191.075
37,2,254.35
36,2,197.95
35,2,182.55
34,2,177.1
33,2,179.175
32,2,184
31,2,181.4
30,2,182.35
29,2,216.025
28,2,198
27,2,172.675
26,2,174.275
25,2,173.125
24,2,172.525
23,2,190.825
22,2,186.25
21,2,182.025
20,2,197.025
19,3,204.175
18,3,223.1
17,3,230.275
16,3,200.4
15,3,191.7
14,3,225.475
13,4,205.125
12,4,199.775
11,4,191.55
10,4,191.2
9,5,209.425
8,5,205.225
7,6,199.3
6,7,292.75
5,8,307.925
4,10,310.25
3,14,334.6
2,20,1878.8
1,40,2379.425
1,40,2379.425
24,2,172.525
