tx_batch,tx_concurrency,time
124,1,310
123,2,366
122,2,289
121,2,267
120,2,286
119,2,306
118,2,273
117,2,263
116,2,354
115,2,291
114,2,253
113,2,262
112,2,255
111,2,250
110,2,245
109,2,244
108,2,237
107,2,240
106,2,239
105,2,262
104,2,274
103,2,268
102,2,322
101,2,535
100,2,255
99,2,398
98,2,432
97,2,279
96,2,261
95,2,318
94,2,240
93,2,279
92,2,259
91,2,246
90,2,232
89,2,232
88,2,259
87,2,247
86,2,219
85,2,243
84,2,258
83,2,246
82,2,234
81,2,224
80,2,245
79,2,266
78,2,235
77,2,229
76,2,222
75,2,223
74,2,254
73,2,208
72,2,224
71,2,207
70,2,217
69,2,232
68,2,203
67,2,208
66,2,227
65,2,220
64,2,214
63,2,213
62,2,223
61,3,405
60,3,292
59,3,207
58,3,230
57,3,196
56,3,214
55,3,195
54,3,196
53,3,201
52,3,269
51,3,448
50,3,216
49,3,201
48,3,224
47,3,247
46,3,216
45,3,212
44,3,189
43,3,302
42,3,214
41,4,234
40,4,211
39,4,198
38,4,192
37,4,193
36,4,825
35,4,192
34,4,193
33,4,246
32,4,418
31,4,181
30,5,195
29,5,191
28,5,176
27,5,181
26,5,174
25,5,181
24,6,203
23,6,447
22,6,364
21,6,191
20,7,180
19,7,186
18,7,211
17,8,177
16,8,196
15,9,232
14,9,219
13,10,207
12,11,225
11,12,214
10,13,524
9,14,193
8,16,217
7,18,192
6,21,229
5,25,238
4,31,238
3,42,264
2,62,369
1,124,931
1,124,931
26,5,174
