block_batch_size,batch_concurrency,time
40,1,220.175
39,2,218.8
38,2,214.35
37,2,204.125
36,2,203.925
35,2,214.95
34,2,211.85
33,2,227.8
32,2,228.3
31,2,205.45
30,2,204.225
29,2,201.825
28,2,201.575
27,2,208.1
26,2,210.75
25,2,203.575
24,2,207.575
23,2,204.4
22,2,204.275
21,2,206.8
20,2,206.875
19,3,219.65
18,3,239.325
17,3,207.925
16,3,242.475
15,3,209.5
14,3,212.05
13,4,212
12,4,208.7
11,4,216
10,4,194.675
9,5,200.175
8,5,205.825
7,6,208.2
6,7,198.625
5,8,240.625
4,10,237.075
3,14,286.575
2,20,366.725
1,40,464.525
1,40,464.525
10,4,194.675
